Sector Time Series
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Display Name: Q5 Active Return
Weighting Type: Eqt wgt
Created Date: 2024-07-25

Date,Energy,Materials,Industrials,Consumer Discr.,Consumer Staples,Health Care,Financials,Info Tech,Comms,Utilities,Real Est
1998-05-31,,,,,,,,,,,
1998-06-30,,,,-0.0712662891465167,,,,-0.133999716127565,,,
1998-07-31,,,,-0.031629941065374,,,,-0.122735554071058,,,
1998-08-31,,,,0.0899709109716144,,,,-0.072792609171648,,,
1998-09-30,,,,-0.193698070543813,-0.030403081557206,,,0.44909965736653,,,
1998-10-31,,,,0.02419171879525,-0.136780303289391,,,-0.13855317408462,,,
1998-11-30,,,0.0308737184502755,0.0625630676455854,0.0587821416892868,-0.00411349815995953,,0.0396676566107268,,,
1998-12-31,,,-0.0511145960136851,-0.133978554577646,-0.0318015377304657,-0.156291871730355,,-0.200332127179338,,,
1999-01-31,,,-0.0530826614649294,-0.01733869809504,-0.055672971022883,-0.181068126165133,,0.0723076886405239,,,
1999-02-28,,-0.0976924177539981,-0.0689724548000921,-0.0332331160200831,-0.0477382835177526,-0.0454253399644187,,-0.0657903115236451,,,
1999-03-31,,-0.0634243366935542,0.0443938853009236,-0.035831201536256,-0.171279175086857,0.120570394164592,,0.0708963141382109,,,
1999-04-30,,-0.0746723419365313,-0.0908704055471002,-0.0962157990669362,-0.0426732546347809,-0.0415816316813032,-0.147701449140803,-0.051456552244392,,,
1999-05-31,-0.0235726236247223,0.0111658182214077,-0.0315472975070731,0.0147200593474311,0.0429636365354808,0.0243060520866551,-0.0136134287042122,0.0541782456939261,-0.0916656658235295,0.0111663850648644,
1999-06-30,0.00238260998509168,0.00486666072208555,0.00168861919686761,0.00805421335538269,-0.0271274950375726,-0.0302821183103758,0.00817634288569006,-0.0731084725659041,0.0339192402028397,0.00338486784010694,
1999-07-31,0.0252739904612334,-0.0321814250498247,-0.0499036429293053,-0.01788180562493,-0.0581351475443677,-0.00832403084888057,-0.00990914597274338,0.0317659247110054,-0.0109458769463133,0.00131933402003601,
1999-08-31,0.0496800655602199,0.0130797029004981,-0.0028663652319901,0.00425555530203354,-0.00801324622580687,-0.0248595795236489,-0.0149885474798853,-0.0347791098002306,-0.07260630947161,-0.0306546795365854,
1999-09-30,-0.0437472238980035,0.129510391505548,0.00775584576552368,0.0155133093773974,-0.0083241578142822,0.050460476473462,-0.0205438537582324,-0.0217425922529486,-0.0294859408329356,-0.00363255903795068,
1999-10-31,-0.00736748273048185,-0.0225973660173401,0.00855612748258418,-0.0799844087813811,-0.0436665641345996,-0.0256942719364515,-0.0191082378701421,0.0473276495783346,-0.100470475816405,0.0370200722456412,
1999-11-30,0.0420596119523878,-0.00473007084113396,0.0260953425891324,-0.019278597602828,-0.0293621023608098,0.0257160589031267,-0.00201302397553851,-0.0117008420111841,-0.0414103783598483,-0.0229466186944547,
1999-12-31,0.0627281378149472,0.0644162696482269,-0.00822715037820938,-0.0574794056114233,0.0855385646263876,-0.0203396167797664,-0.0334458139973679,0.0294021549996807,-0.0754153034238253,-0.0382237488964497,
2000-01-31,-0.00254907143832655,-0.0703499730991289,-0.004770679300513,-0.0286409101581378,-0.0391028931330655,-0.0673393550322522,-0.00871953578273058,0.0137843870191088,-0.0757394642857726,0.0281753105956853,
2000-02-29,-0.0448089215413546,-0.0248511056834516,-0.000270508539287728,-0.0389135076930192,0.00895557964244764,-0.0464774938492685,-0.0180356792741422,-0.000386098178831895,-0.125214592630629,0.0189552530289437,
2000-03-31,0.0535912604901107,0.00976736212744084,0.00389904762544097,-0.00578511869802283,-0.00216337353423103,0.0025433095426728,-0.00129096864846712,-0.0470977608901825,0.162783428615761,0.0269463546572333,
2000-04-30,0.0427175044028629,0.0645208187059834,-0.0126948351332922,-0.00714658490767158,-0.0567185263590458,0.0686073599492044,-0.0144277385649154,0.0109495005375445,-0.0737141778384603,-0.0372169930430982,
2000-05-31,-0.032993776229347,0.0624092602404091,0.073774141335207,0.0508037031014206,0.0599178364333867,-0.0263385890864466,0.0979353099681532,0.0171977188995163,0.174358178121838,0.0276223408037251,
2000-06-30,-0.010657695413667,0.0233682848674636,0.054735480476408,-0.0733543195815398,-0.0173854194790259,-0.0121511960111702,-0.0375396312758731,-0.0524881084744225,0.0274749066984206,0.00719097532851504,
2000-07-31,0.0159280994067676,-0.0675826440360884,0.0198977964592823,0.0699920781476832,-0.0576838172275407,0.14171131857845,-0.0257038944795047,-0.0143332332416047,0.091187068237635,-0.0401530290685461,
2000-08-31,0.0083153592072211,0.00752212954399795,-0.0404632145224587,-0.0215024246507447,0.0879579818145108,0.0498403470891481,4.08325052122099E-05,0.0169191848319896,0.00938702161716494,-0.0430461449098122,
2000-09-30,-0.0383521859975819,0.00543825417542693,0.0346164920218965,-0.0159749465187596,0.0128945575467218,0.0107524867070096,-0.0350312379682391,0.00339658699992199,0.0163510003021881,0.0197092506400691,
2000-10-31,0.036023364742166,-0.0626139901317576,0.0229991343050589,0.00596776387946945,-0.0282066358023008,0.0917745731392317,-0.00497752222815714,0.0159416390381606,-0.0162766039860628,-0.0256069431299062,
2000-11-30,0.0102469339296666,0.0317113595538941,-0.0618405768790796,-0.0248623222026059,0.0144619625498061,0.0471825006838116,0.031254536629497,0.0293564634272712,-0.0107823097917573,-0.00425329977647546,
2000-12-31,0.00641859117598007,0.0534971686905284,0.102171181436026,0.0610447952263747,0.0262021746942698,0.038269168032552,0.0577526077364955,-0.0211606079166635,-0.0357848947961399,0.00093772855672046,
