Quintile Returns
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Sector Name: Cross Sectional
Weight Type: Cap Weighted
Created Date: 2024-07-25

Date,Q1,Q2,Q3,Q4,Q5,Spread,Benchmark
1991-09-30,,0.135135215135158,,,,,0.00635772623265416
1991-10-31,,-0.0476191299773447,,,,,0.00979938958120605
1991-11-30,,0.0250001964000659,,,,,-0.0732865274785807
1991-12-31,,-0.0975611340868761,,,,,0.0681982643484895
1992-01-31,,0,,,,,0.0788323725669849
1992-02-29,,0.0810810637837784,,,,,0.0423427693050832
1992-03-31,,-0.0999998795999597,,,,,-0.020894552004606
1992-04-30,,-0.111111295802506,,,,,-0.0260785238764924
1992-05-31,,-0.0625001181250485,,,,,0.010915785655144
1992-06-30,,-0.133333199466595,,,,,-0.0422845216680936
1992-07-31,,0.230769195739632,,,,,0.0481711208586994
1993-04-30,,-0.0315789498947371,,,,,-0.0266088262828408
1993-05-31,0.12987012987013,,0.0237442915068493,,0.0865216949735315,0.0433484348965987,0.0331979200763222
1993-06-30,-0.119788431821106,-0.0503165169577551,0.00278318674006937,0.0930779271663813,-0.0332059806631696,-0.0865824511579368,-0.00163591529056666
1993-07-31,0.0429880037941661,-0.136100073942314,0.0189808043893314,0.0399946854062796,0.0559479679499446,-0.0129599641557785,0.0244785112412599
1993-08-31,0.132437781660442,0.0192528161268375,0.0381863417732207,-0.0206868783623787,0.089320254900391,0.0431175267600506,0.0300772137523776
1993-09-30,0.0148716774416225,0.0190818605868285,0.0899660898940548,0.0503286323190762,-0.0381024843622813,0.0529741618039038,0.0212319507519991
1993-10-31,-0.0472777597065905,-0.0258129463638988,0.0639008469476375,0.0467062476418773,0.0124590834551324,-0.0597368431617229,0.0268839131370358
1993-11-30,0.0393333642976655,0.00929533893360347,-0.0201893110930898,-0.0400683207463779,-0.00784338802182575,0.0471767523194912,-0.0155426851507233
1993-12-31,0.0714077112815138,0.019740068260909,0.0387357890334189,0.0857730698234411,0.0300228505627445,0.0413848607187693,0.0388944287735934
1994-01-31,0.0416696638412624,0.0274105948881037,0.029927976792438,0.0118261547015629,0.0663816237622795,-0.0247119599210171,0.0402671789212708
1994-02-28,0.0231380067299565,-0.00179367275874533,-0.0204792147950234,-0.00919725423520031,0.0133827996566669,0.00975520707328967,0.0065485373544743
1994-03-31,-0.0383387635862456,-0.0556465517294905,-0.0224514251025838,-0.0405354439718794,-0.0304869203347782,-0.00785184325146739,-0.0436612337443931
1994-04-30,0.0142474291348236,0.00759516813004785,0.0108692704481206,-0.0158648463622111,0.00430720252630326,0.00994022660852029,0.00590638816243406
1994-05-31,-0.0114456885116512,-0.0259601475258119,-0.0365760662345365,-0.053325307674583,0.00673295233220431,-0.0181786408438555,-0.018740470537097
1994-06-30,-0.0190848640046687,-0.021067924389068,-0.0407382086887029,0.0054095186229505,-0.01492880891696,-0.00415605508770872,-0.036721075173462
1994-07-31,0.0215171514536014,0.0220101312677487,-0.0110408956744288,0.0430610281866599,-0.00863328884470964,0.0301504402983111,0.0174990984468839
1994-08-31,0.0474440122918164,0.024684103826638,0.0468813505991717,0.0614606282325676,0.0484149824489855,-0.000970970157169085,0.052567005590991
1994-09-30,0.00187998590970536,-0.0014499356471205,-0.0328686763620352,-0.0120735652185869,-0.0913445909240021,0.0932245768337075,-0.0147572603263085
1994-10-31,0.0263297749729178,0.0277990872682087,-0.0312665315157444,-0.0208839050393007,0.00599019319784496,0.0203395817750728,-0.00625173510727646
1994-11-30,-0.041712165583252,-0.0222475767013617,-0.0103518743015328,-0.0217330878981937,-0.0204087759146067,-0.0213033896686453,-0.0410930665462889
1994-12-31,0.0399517624422223,0.0105407859361071,-0.00638224448609475,0.0428638535127358,-0.034741873520015,0.0746936359622373,0.0229592870103856
1995-01-31,-0.0200863592755913,0.000884236484348254,-0.0279751591805992,-0.00717925774915988,0.0147667248934504,-0.0348530841690417,-0.0107534199841649
1995-02-28,0.0670229798324764,0.0345585929586345,-0.00615760410094435,0.0461800730940045,0.0579334939373387,0.00908948589513768,0.0348618945037733
1995-03-31,0.0179488205205667,0.0321185259858141,0.0294472243840621,-0.00552508696097132,-0.0199597650643925,0.0379085855849592,0.0137574203277423
1995-04-30,0.0316421939616534,0.0544166782779922,0.0345879473308101,0.00175418073164454,0.0648565366589407,-0.0332143426972873,0.018626393143703
1995-05-31,0.0075911605599182,0.0166772073999206,0.0112167791906512,-0.0150540805168002,0.0656230990006172,-0.058031938440699,0.0120334578922694
1995-06-30,0.0708819191869517,0.0117415098179069,0.0485766614669423,0.018786370287407,0.122146002286802,-0.0512640830998503,0.0392141512893719
1995-07-31,0.0629978068030583,0.0576528436663855,0.0380810540602311,0.0597757326080022,-0.0306763326269716,0.0936741394300299,0.050273064041855
1995-08-31,0.000375522907338035,0.0422596072160073,0.0570005094566476,0.0101359991694318,0.0213168508255002,-0.0209413279181622,0.0202055424826065
1995-09-30,0.0558824400721513,0.0469547419682069,0.0142483329562135,0.0160920271809638,0.076313562263887,-0.0204311221917357,0.0229171866859158
1995-10-31,-0.0231283869278271,-0.0259629492241401,-0.0191741562594271,-0.0553719659622239,0.00834209271416051,-0.0314704796419877,-0.0471051213714559
1995-11-30,0.0260396228026669,0.0365090403805498,0.000269048469290727,0.0616391217855271,0.0021139050860346,0.0239257177166323,0.041601849986771
1995-12-31,0.0047302960625482,0.0404061489579397,0.0321764604416726,0.0071356126217193,0.0163255389855168,-0.0115952429229686,0.0211111299812901
