Average Information Coefficient Timeseries
Universe Name: Russell 2000
Factor Code: EstDiffC
Factor Name: Analyst Earnings Estimate Diffusion
Sector Name: Cross Sectional
Holding Period: 12 Month
Created Date: 2024-07-26

Date,IC
7/31/1999,0
8/31/1999,0
9/30/1999,0
10/31/1999,0
11/30/1999,0
12/31/1999,0
1/31/2000,0
2/29/2000,0
3/31/2000,-0.183816440264551
4/30/2000,0.0429885779164178
5/31/2000,-0.0391586793924374
6/30/2000,-0.0255978880601209
7/31/2000,0.135819484236559
8/31/2000,0.0364086455295895
9/30/2000,0.0646610381811726
10/31/2000,0.142014448046634
11/30/2000,-0.00845714252812018
12/31/2000,-0.00508734341310617
1/31/2001,0.0585290924033567
2/28/2001,0.0428937577761405
3/31/2001,0.049665740422949
4/30/2001,-0.00450059514881327
5/31/2001,-0.0484216737857284
6/30/2001,-0.0798733614868394
7/31/2001,-0.0721469437543587
8/31/2001,-0.102728703852744
9/30/2001,-0.0760072456976257
10/31/2001,-0.126879437694272
11/30/2001,-0.0693506283926819
12/31/2001,-0.115580631518835
1/31/2002,-0.0592483539120509
2/28/2002,-0.0683862368215383
3/31/2002,-0.102627162498282
4/30/2002,0.0239715410762375
5/31/2002,0.0222277307715835
6/30/2002,-0.0387145192698666
7/31/2002,0.0847814167234722
8/31/2002,0.151707278483741
9/30/2002,0.00825905115777069
10/31/2002,0.0135446032457832
11/30/2002,0.0445845660700571
12/31/2002,0.0456014714663127
1/31/2003,0.137410597040361
2/28/2003,0.166069212732319
3/31/2003,0.0979854698538563
4/30/2003,0.135525557181571
5/31/2003,0.0751795903065135
6/30/2003,0.0337485627306566
7/31/2003,-0.0384025882279717
8/31/2003,-0.0397347211323715
9/30/2003,0.0110756624723578
10/31/2003,0.0187905029019563
11/30/2003,0.0321499056001852
12/31/2003,0.00781902852931812
1/31/2004,0.0416573959787869
2/29/2004,-0.00783707381220912
3/31/2004,0.0569637879601
4/30/2004,0.00315069915950588
5/31/2004,0.0436003524763373
6/30/2004,-0.00955619392238681
7/31/2004,0.0283905761016463
8/31/2004,-0.0384807088978771
9/30/2004,0.0114580495035399
10/31/2004,-0.010334084981218
11/30/2004,-0.0135173705938098
12/31/2004,0.0201077405543112
1/31/2005,0.0113331407079105
2/28/2005,0.0692715538773895
3/31/2005,0.0807391998347559
4/30/2005,0.0570475168345583
5/31/2005,0.0822595861900973
6/30/2005,0.0867536180622254
7/31/2005,0.0872904986657163
8/31/2005,0.070212712008995
9/30/2005,0.047928366327723
10/31/2005,0.106765344171601
11/30/2005,0.104188360107756
12/31/2005,0.0310922232048162
1/31/2006,0.0276740990580657
2/28/2006,0.0968252373019254
3/31/2006,0.051259705572581
4/30/2006,0.0710845381560028
5/31/2006,0.0418255501061717
6/30/2006,-0.0213194650211078
7/31/2006,0.0846787587448975
8/31/2006,0.0532519945849998
9/30/2006,0.00165897921009621
10/31/2006,0.0189328091331324
11/30/2006,0.0260061771398392
12/31/2006,0.0039010116057454
1/31/2007,0.000672831550401868
2/28/2007,-0.0161175481800169
3/31/2007,-0.00348745007102784
4/30/2007,0.023989237127395
5/31/2007,0.0658367036524431
6/30/2007,0.0364636762525894
7/31/2007,-0.0430086640669931
8/31/2007,0.0186168326550582
9/30/2007,0.0717701898760738
10/31/2007,0.03517634067257
11/30/2007,0.0246196347552567
12/31/2007,0.050880876393137
1/31/2008,0.0525508904605063
2/29/2008,0.0751393877920282
3/31/2008,0.054433581560132
4/30/2008,0.107715047926373
5/31/2008,0.113052978309211
6/30/2008,0.09306892564687
7/31/2008,0.0787783994736438
8/31/2008,0.063725388251663
9/30/2008,0.0310767964456141
10/31/2008,0.0231954633063756
11/30/2008,0.0428709266140304
12/31/2008,-0.0170797179304538
1/31/2009,0.0499169916575617
2/28/2009,0.090120841395344
3/31/2009,0.0199957309281989
4/30/2009,0.00798987627668698
5/31/2009,0.0571301697026487
6/30/2009,-0.0569809192084778
7/31/2009,-0.0821158096010593
8/31/2009,-0.0225830961498868
9/30/2009,-0.0330492703195992
10/31/2009,-0.0551176241050498
11/30/2009,-0.138414390405081
12/31/2009,-0.111506031250395
1/31/2010,-0.0586684595032414
2/28/2010,-0.0995787423241359
3/31/2010,-0.123520515771116
4/30/2010,-0.00995477691260766
5/31/2010,-0.0358713471327396
6/30/2010,-0.0231369649629584
7/31/2010,-0.0337822599037845
8/31/2010,0.0133676539878575
9/30/2010,0.0678461936877543
10/31/2010,0.0835334947422975
11/30/2010,0.0481743216927037
12/31/2010,0.046683446341806
1/31/2011,0.0505869274115453
2/28/2011,0.0543662969662204
3/31/2011,0.0516277595076267
4/30/2011,0.0502557889961783
5/31/2011,0.110274072480953
6/30/2011,-0.00713254852895445
7/31/2011,0.0373902871698473
8/31/2011,0.0949578871273245
9/30/2011,0.0502949578727171
10/31/2011,0.0963128371798182
11/30/2011,0.101044105763284
12/31/2011,0.0466543216242584
1/31/2012,0.106056205619055
2/29/2012,0.0418770619975362
3/31/2012,0.0636146350639632
4/30/2012,0.0382453677010537
5/31/2012,0.0610431884320651
6/30/2012,0.00617817542608199
7/31/2012,0.063387949031099
8/31/2012,0.0630944435981952
9/30/2012,-0.00391362930657555
10/31/2012,0.0705105253656559
11/30/2012,0.0551513407971571
12/31/2012,0.0139353975990041
1/31/2013,0.0515752393036156
2/28/2013,0.0360138284226843
3/31/2013,0.0802707628967228
4/30/2013,0.0776009443170854
5/31/2013,0.0593600503681155
6/30/2013,-0.00739590054740449
7/31/2013,0.0116837067036904
8/31/2013,0.0566142511109045
