AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
1991-08-31,,0,,0,0,0,0,0,0,
1991-09-30,,0,,0,0,0,0,0,0,
1991-10-31,,0,,0,0,0,0,0,0,
1991-11-30,,0,,0,0,0,,0,0,
1991-12-31,,0,,0,0,0,0,0,0,
1992-01-31,,0,,0,0,0,0,0,0,
1992-02-29,,0,,0,0,0,0,0,0,
1992-03-31,,0,,0,0,0,0,0,0,
1992-04-30,,0,,0,0,0,0,0,0,
1992-05-31,,0,,0,0,0,0,0,0,
1992-06-30,,,,,,,,,,
1993-03-31,,0,,0,0,0,0,0,0,
1993-04-30,,0.894824098450323,,-0.957342850749614,0.881599306496438,-0.708817047589655,0.158291555893132,-0.776026514423836,0.322565947759033,
1993-05-31,,0.061609765400711,,0.0162247058908581,0.333090464415206,0.0174854515774521,0.0749747644368405,-0.318196257367269,0.694412222209717,
1993-06-30,,-0.0287674989947932,,-0.166956851308228,0.353000914093215,0.239665087949302,0.093991453170273,-0.266408931381867,0.49194051846689,
1993-07-31,,0.28103623035756,,0.176549840511783,0.307011315018737,-0.0891992351319677,0.17238481188352,-0.131168996852507,0.47207875041845,
1993-08-31,,-0.0408674370496021,,0.0279478626531939,-0.0147052309505083,-0.1056440037698,-0.0756634805640137,-0.238225224216088,0.360182623017469,
1993-09-30,,-0.0303206698448147,,0.0854472931055327,-0.0383725040877516,-0.177519882493324,-0.181164020453176,-0.291027103987962,0.31802309249528,
