AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Positive
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Earnings Quality,Net Profit Margin,0.637114035675182,179.787507762641
Valuation,Earnings to Price,0.630292251859859,186.523198223206
Capital Efficiency,Return on Equity,0.556533112972559,179.548054371276
Earnings Quality,Earnings Quality,0.520814814456924,118.718202368537
Capital Efficiency,Cash Flow Return on Invested Capital,0.45820099154913,127.697749677048
Historical Growth,1Y Chg in Earnings per Share,0.45142371965965,43.5082309153834
Valuation,EBITDA to Enterprise Value,0.423937465235137,63.2173515063858
Capital Efficiency,Capital Acquisition Ratio,0.404803058092944,133.426195019772
Capital Efficiency,Capital Efficiency,0.398556789841025,106.6778004002
Valuation,Valuation,0.315470227186736,62.2184761851582

Correlation (Factors)
,Earnings Quality,Valuation,Capital Efficiency,Earnings Quality,Capital Efficiency,Historical Growth,Valuation,Capital Efficiency,Capital Efficiency,Valuation
Date,Net Profit Margin,Earnings to Price,Return on Equity,Earnings Quality,Cash Flow Return on Invested Capital,1Y Chg in Earnings per Share,EBITDA to Enterprise Value,Capital Acquisition Ratio,Capital Efficiency,Valuation
2001-04-30,0.676567018143337,0.615348674522232,0.614368041948138,0.419199180791078,0.490006986139849,0.392991493386737,0.36560581777206,0.491003046425653,0.392372740922151,0.322252049246982
2001-05-31,0.671167883527021,0.607329259859148,0.625365423177795,0.433223790593292,0.485579484886072,0.3895539609628,0.343985839534472,0.474367155136679,0.387381511446567,0.289222860902048
2001-06-30,0.650018391599286,0.578193549441935,0.655269047061506,0.574256118560817,0.409456077230581,0.462545220000841,0.348872799474505,0.400083001790737,0.452839280924155,0.27876842495906
2001-07-31,0.649782846266598,0.586873464027112,0.617792267516329,0.449433862924298,0.420299575431896,0.404895984336399,0.359679594606132,0.420778763681573,0.382760073247656,0.280833624999312
2001-08-31,0.656980660196641,0.613239278938675,0.609279108283098,0.439261388829335,0.421366117280113,0.434180462128342,0.370338226797965,0.422666986043726,0.372616826724209,0.31089248169379
2001-09-30,0.663901253504573,0.603100997293273,0.616296612397486,0.44294250504908,0.423431378781533,0.450599278635282,0.328185470322786,0.422241383542719,0.368797122824927,0.297134365184186
2001-10-31,0.664038055446114,0.599250162110177,0.615170518818988,0.43933588818087,0.417739001093809,0.43310025902606,0.336509338382419,0.416645278496512,0.36335202197324,0.291590033436519
2001-11-30,0.67393171951146,0.612689499255107,0.619813111476338,0.452278004774,0.410860924297584,0.452834805898136,0.342695170057424,0.419847621199376,0.374852100584975,0.288237192747705
2001-12-31,0.683652978285051,0.623633539005302,0.623504398990919,0.456703936782557,0.416975399291842,0.494717610988893,0.361791415072316,0.427093376824631,0.372478706174866,0.296400726150959
2002-01-31,0.689374613020045,0.633772025569604,0.634084388091366,0.446968491734169,0.418159181625483,0.4951175975196,0.34311933534926,0.424515469021015,0.374951502177876,0.29704264786838
2002-02-28,0.693168498861704,0.637448687155656,0.637266861064815,0.444653580832776,0.417571986308933,0.498691308229584,0.341448051823955,0.422034988320101,0.372957732943124,0.306352684172049
