Quintile Returns
Universe Name: S&P 500
Factor Code: NIStab
Factor Name: Net Income Stability
Sector Name: Utilities
Weight Type: Equal Weighted
Created Date: 2024-07-26

Date,Q1,Q2,Q3,Q4,Q5,Spread,Benchmark
1988-04-30,,,,,,,0.00690180624780211
1988-05-31,,,,,,,0.0310391832268871
1988-06-30,,,,,,,0.0464770655709019
1988-07-31,,,,,,,0.0142093331593896
1988-08-31,,,,,,,-0.00364639783578165
1988-09-30,,,,,,,0.0170667489211122
1988-10-31,,,,,,,0.0338552167914701
1988-11-30,,,,,,,-0.00246211935671205
1988-12-31,,,,,,,0.00914168779202126
1989-01-31,,,,,,,0.0498105214550496
1989-02-28,,,,,,,-0.0167277457076211
1989-03-31,,,,,,,0.00334889537843498
1989-04-30,,,,,,,0.0517672514292927
1989-05-31,,,,,,,0.0540002493751798
1989-06-30,,,,,,,0.0330787403330503
1989-07-31,,,,,,,0.0683051131119117
1989-08-31,,,,,,,0.00348031871116732
1989-09-30,,,,,,,0.00574684389923362
1989-10-31,,,,,,,0.0108481793414604
1989-11-30,,,,,,,0.0365460574965575
1989-12-31,,,,,,,0.0507742866111862
1990-01-31,,,,,,,-0.0533465469051507
1990-02-28,,,,,,,-0.0050601858430289
1990-03-31,,,,,,,-0.0128962003690601
1990-04-30,,,,,,,-0.0567112465066255
1990-05-31,,,,,,,0.0622410102506996
1990-06-30,,,,,,,0.00167538649046093
1990-07-31,,,,,,,0.00333081405883313
1990-08-31,,,,,,,-0.0744138253105044
1990-09-30,,,,,,,0.0245986822798059
1990-10-31,,,,,,,0.0653312040187266
1990-11-30,,,,,,,0.0175778248116454
1990-12-31,,,,,,,-0.00372437533423324
1991-01-31,,,,,,,-0.0240754502206506
1991-02-28,,,,,,,0.0543792078018156
1991-03-31,,,,,,,0.0111528876934954
1991-04-30,,,,,,,-0.00629084892073003
1991-05-31,,,,,,,0.0150012094798248
1991-06-30,,,,,,,-0.0419785126420852
1991-07-31,,,,,,,0.0266491568795743
1991-08-31,,,,,,,0.0425332381022868
1991-09-30,,,,,,,0.0222482251133428
1991-10-31,,,,,,,0.0165258731343935
1991-11-30,,,,,,,0.010745822356372
1991-12-31,,,,,,,0.0336115008436661
1992-01-31,,,,,,,-0.0552033863011003
1992-02-29,,,,,,,-0.0166883819609253
1992-03-31,,,,,,,-0.00643658606974085
1992-04-30,,,,,,,0.0201320532188657
1992-05-31,,,,,,,0.0454099634629908
1992-06-30,,,,,,,0.00361346058045303
1992-07-31,,,,,,,0.0774141396098145
1992-08-31,,,,,,,-0.00471260372051237
1992-09-30,,,,,,,0.00850718004830735
1992-10-31,,,,,,,-0.00144391480294742
1992-11-30,,,,,,,-0.00773837798195991
1992-12-31,,,,,,,0.0238112284379915
1993-01-31,,,,,,,0.0304285688768666
1993-02-28,,,,,,,0.073160397794174
1993-03-31,,,,,,,0.0288940415471519
1993-04-30,,,,,,,-0.00537981072401279
1993-05-31,,,,,,,0.0031147358588112
1993-06-30,,,,,,,0.0466402204349132
1993-07-31,,,,,,,0.00859239162320359
1993-08-31,,,,,,,0.0468553150676356
1993-09-30,,,,,,,-0.00611125101144416
1993-10-31,,,,,,,-0.0279965244588358
1993-11-30,,,,,,,-0.0528592724877874
1993-12-31,,,,,,,0.00227569311621257
1994-01-31,,,,,,,0.00811179158169807
1994-02-28,,,,,,,-0.0527375550625445
1994-03-31,,-0.0645267502880659,,,,,-0.048728763145005
1994-04-30,-0.0286885245901638,0.0209064292109274,0.0343739663771517,0.044117647058824,0.056910569105691,-0.0855990936958548,0.0231054078812298
1994-05-31,0.0358649789029537,-0.0421044334424554,-0.0409248684357869,0.00938967136150248,-0.0930769243076924,0.128941903210646,-0.0427748738714904
1994-06-30,0.073770491803278,-0.048563218390806,-0.0150450457657657,-0.0068837209302326,-0.0216450216450227,0.0954155134483007,-0.0253819565685469
1994-07-31,-0.0190839694656488,0.0804195804195803,0.0581871784205145,-0.0473933649289106,0.0796460176991152,-0.098729987164764,0.0537800412569554
1994-08-31,-0.0447470817120624,-0.0278164008496731,-0.0129032258064513,-0.0298507462686568,0.052459015081967,-0.0972060967940295,0.013898049329822
1994-09-30,-0.00819672131147586,-0.0471943616156141,-0.0239198145743094,0.00779487179487193,-0.0039682539682564,-0.00422846734321947,-0.021685298822984
1994-10-31,0.0702479338842974,0.0220315121016056,0.0335570469798669,0.00515463917525816,0.0199203187250996,0.0503276151591978,0.015649842821177
1994-11-30,-0.15984556015444,0.0351058199013479,0.0365768184007188,-0.0769230769230769,0.0499999987499999,-0.20984555890444,-0.0174873010784098
1994-12-31,0.129629629629631,-0.0186950754435398,-0.0102788626777546,0.0251111111111111,-0.00378787878787634,0.133417508417507,0.0159820518381931
1995-01-31,-0.0450819672131149,0.0831924061949957,0.0719528289386799,0.0494505494505491,0.0646387832699618,-0.109720750483077,0.0573223353492537
1995-02-28,0.139914162746781,-0.032057326096075,0.000533715178338223,0.036649214659686,-0.015000001142857,0.154914163889638,0.0160297957162774
1995-03-31,-6.66133814775094E-16,-0.0466371585879302,-0.0268331389361425,0.0230303026262628,-0.0627306273062761,0.0627306273062754,-0.00458269122578753
1995-04-30,0.0303030303030303,0.0170103766591957,0.0299594999558924,0.0107480314960628,-0.00103004394849793,0.0313330742515282,0.0333480916086184
1995-05-31,0.0794117644117649,0.0724406224406206,0.0710471800345246,0.0699398559703909,0.0480349344978164,0.0313768299139485,0.0647243212427741
