Sector Time Series
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Display Name: Q5 Active Return
Weighting Type: Eqt wgt
Created Date: 2024-07-25

Date,Energy,Materials,Industrials,Consumer Discr.,Consumer Staples,Health Care,Financials,Info Tech,Comms,Utilities,Real Est
1991-09-30,,,,,,,,,,,
1991-10-31,,,,,,,,,,,
1991-11-30,,,,,,,,,,,
1991-12-31,,,,,,,,,,,
1992-01-31,,,,,,,,,,,
1992-02-29,,,,,,,,,,,
1992-03-31,,,,,,,,,,,
1992-04-30,,,,,,,,,,,
1992-05-31,,,,,,,,,,,
1992-06-30,,,,,,,,,,,
1992-07-31,,,,,,,,,,,
1993-04-30,,,,,,,,,,,
1993-05-31,,,,0.0337665019606691,,,,,,,
1993-06-30,,,,-0.00109717260116332,,,,-0.0895952605814867,,,
1993-07-31,,,,0.0455979850459871,,,,0.0680725792274772,,,
1993-08-31,,,-0.0986112496308229,-0.0733735306171054,,,,-0.210223624241614,,,
1993-09-30,,,-0.00243988360956087,-0.05170169404349,,-0.0621666985305936,,-0.0733602240488218,,,
1993-10-31,,0.107354168914433,-0.0306502053937323,0.0492308639032057,0.00128081984645711,0.0216292209832867,,0.0908224767463875,,,
1993-11-30,,-0.257405071607245,-0.0839751631436522,0.0341040257289069,0.0783643440285951,-0.0245625131182422,,0.0277019180706015,,,
1993-12-31,-0.082759891110983,0.0265193626755255,0.0205604806697003,0.0414954527174063,0.197114087181598,-0.0591839597597428,,0.0462940966949861,,-0.000243256994603772,
1994-01-31,0.0169095437789298,0.0406789262723064,-0.0223327684013695,-0.0348582273150505,0.0426633698333154,0.13021696433584,,-0.0625135673229022,,0.0373178045083589,
1994-02-28,0.0343626279620824,-0.00300594274214895,0.0446194058527164,0.0480063695870947,0.0357823572026847,0.00109706545498855,,0.0067863634751782,,-0.0272494543475002,
1994-03-31,0.0188663691701245,0.079918092443509,-0.0252387555730888,0.0141912331156587,-0.0485344949578994,-0.0315913794997594,,0.0390261589495005,,0.096708681392515,
1994-04-30,0.104816276957164,0.0446994071588998,0.00724464672064055,-0.0253078516638058,0.072941707410335,0.0166705677325443,-0.0256626815534251,-0.0488066678929725,,-0.0104778925883332,
1994-05-31,-0.0836005050933226,-0.0348956650215607,-0.0152939519366811,0.0666347217257792,-0.0326615613573246,-0.0497945766734004,0.011441901464157,0.0333793343687099,,-0.0673564122613905,
1994-06-30,-0.000568922314668967,-0.0262285908823938,0.0232863160907583,0.0559779731963293,-0.0386410476556892,-0.0670362845503636,-0.0310636588844822,-0.00387554817595274,,-0.0284392207917837,
1994-07-31,-0.0548905354941366,0.0863261723890937,-0.0282276530892263,-0.0254333435636792,0.0569000142024877,-0.104583447669807,-0.0190722258367306,-0.0258958274033413,,0.00855635284892739,
1994-08-31,-0.0393307365725603,0.188046502461545,-0.0364412963159952,-0.0455087556298853,0.27571847791678,0.213007934252243,0.00528921146543894,-0.0464988294523075,,0.011292623530212,
1994-09-30,-0.046112887670517,0.00630061600557073,-0.0403915875841757,-0.00677240245825705,0.00497120653154754,-0.16814083993782,0.0235610546902461,0.0119238760147766,,0.0118419258610267,
1994-10-31,-0.00901921089532067,-0.0312235047002892,0.0378123547325796,-0.0150026513813632,-0.242884946972943,0.192426312163004,0.0150805436172011,0.0590181500374521,,-0.0211461074396611,
1994-11-30,0.000762765042611122,-0.0378041541141653,-0.00380166196579104,0.032104596919747,0.0865357778237138,-0.0147909368796359,0.0283436757981622,-0.0147343754655016,,0.0114028804529006,
1994-12-31,-0.00890555997373172,-0.0105110910260545,-0.0709759084398822,-0.0183757070091012,0.0412732091494092,-0.164786415067449,-0.00975255112708417,-0.0386902931068998,,-0.00681220690094735,
1995-01-31,0.0343749569666509,-0.0469911768655687,0.0387660856226464,0.126361305659223,-0.0689196691063309,-0.397572516626576,0.0288994084550465,-0.0619218037650811,,0.0121743411653041,
1995-02-28,0.0378486874060493,0.319483088969572,0.0201437777722939,0.0159513205103229,-8.31730998698821E-05,0.0242897377913949,-0.0278036477486543,0.00929895038368904,,0.0505883449706734,
1995-03-31,-0.0487880351293877,0.0277252088133651,-0.0161215687898822,-0.0328991823779557,-0.0584602058904541,-0.019087746654226,-0.053251252615327,0.104054941239558,,0.0186944165600046,
1995-04-30,-0.0368044047290922,0.0467014914717343,0.0101776724192707,0.00100590047038744,-0.000348688330728174,0.166632896974338,0.0241593565825112,0.0916055100330561,,-0.0478674864066936,
1995-05-31,0.0737246167064357,0.0342989760046242,0.0314117330875622,-0.0363950889095496,0.0199409066048507,0.0223437261697946,-0.0397667237170394,-0.0110507771862381,,0.0234709833064719,
1995-06-30,0.0039599687560757,-0.0040512394340074,0.0358692295588553,-0.0268664980519549,0.0273641618109448,-0.188948990858821,-0.0146886266141183,0.187627369189736,,-0.0129935404119993,
1995-07-31,-0.0675691684488292,-0.060423768736276,-0.059194036319674,0.012680989491394,-0.0754235700886638,0.0221147558208922,-0.00726154658582593,0.0456131393663233,,-0.0138383005803468,
1995-08-31,0.146542439976217,-0.0107780619350289,-0.0057585015780674,-0.0300562388030811,-0.00356926150122948,0.0713570871905472,0.0166343021233088,-0.00324089435985817,-0.0914077908636149,-0.000338420610751889,
1995-09-30,-0.0142248063781561,0.0103090111836128,0.0405516326885717,-0.00203646049109616,0.0038352207268552,-0.0615312496252978,0.00782184820422386,-0.00334745813689694,-0.0350548930846405,-0.0360908660957499,
