AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Volatility,12M Realized Price Volatility,-0.480531459090701,-72.7647070523772
Volatility,Volatility,-0.445842736745083,-62.7455286845594
Volatility,1M Realized Price Volatility,-0.381527351251647,-36.6590119889497
Volatility,90 Day Coefficient of Variation,-0.35731615747168,-33.2495283583911
Volatility,60M CAPM Beta,-0.224628022980929,-50.579837161468
Earnings Quality,Accrual Ratio - Cash Flows,-0.217076157632828,-60.6266409166685
Size,Log Market Cap,-0.180466777258457,-26.406043123395
Size,Size,-0.176347061472957,-26.882146377887
Size,Log TTM Sales,-0.119816165512465,-18.1946013359279
Earnings Quality,Working Capital Accruals,-0.108636203293095,-15.4104659063898

Correlation (Factors)
,Volatility,Volatility,Volatility,Volatility,Volatility,Earnings Quality,Size,Size,Size,Earnings Quality
Date,12M Realized Price Volatility,Volatility,1M Realized Price Volatility,90 Day Coefficient of Variation,60M CAPM Beta,Accrual Ratio - Cash Flows,Log Market Cap,Size,Log TTM Sales,Working Capital Accruals
1994-02-28,0.00870280737355322,0.0368641630096516,-0.00666962259930428,0.0484781365662979,0.0303285869245899,-0.435932997403571,-0.324832170652979,-0.148615700110325,0.0640050995389342,-0.207015901661044
1994-03-31,-0.0751869315044287,-0.109727334856123,-0.0888344448487627,-0.174470958260955,-0.00326851607317642,-0.444476346254574,-0.169287350324309,-0.00282038530788567,0.167807205953881,-0.21088770157424
1994-04-30,-0.0463386258229667,-0.0859775829953623,-0.0289526441838419,-0.147621688977838,-0.0517295490607634,-0.471961100586966,-0.13432044383491,0.036817447862263,0.202654206283641,-0.280071676071701
1994-05-31,-0.0498421260687218,-0.0959867049078251,-0.0532595548105382,-0.179842913632077,-0.0117470083984615,-0.453294763149008,-0.152522620807589,0.0191013400333698,0.18588695446048,-0.276914829170811
1994-06-30,0.00420198229415925,-0.0145410253140695,0.0894843303706505,-0.152972205875881,0.0314034795690709,-0.376532024898299,-0.111307773534576,0.0794831901606707,0.262824935306468,-0.264162935327102
1994-07-31,0.00103078082825893,0.0177381833947912,0.123282420287202,-0.125320717586533,0.0392996294837639,-0.369671117130218,-0.116318616521006,0.0594764979794683,0.240255777816075,-0.29152282214084
1994-08-31,-0.00504366558488845,-0.0122399288391197,-0.0322738020101106,-0.0509801179559203,0.0220661795358748,-0.383950884704119,-0.101408579913219,0.0698870024638036,0.245249651970472,-0.318949020447794
1994-09-30,-0.00677935384874501,0.00552635159988901,-0.00289780764482861,-0.0173089285094693,0.0171998774095397,-0.43068674600058,-0.106007198212897,0.0656248151509609,0.242835573839471,-0.345960878608996
1994-10-31,-0.0320935587418569,-0.0536439421639157,-0.108395604496518,-0.0643329299341132,0.0221162868171181,-0.406745974629474,-0.11281118980158,0.0527762036208009,0.225875889254551,-0.352994362334707
1994-11-30,-0.0629620358550329,-0.0528007916495622,-0.0164857903061246,-0.10534105409259,0.0011195651615374,-0.358538307573077,-0.148210094082325,0.0272159485484516,0.219901821980965,-0.382416575673898
1994-12-31,-0.0468562164869331,-0.0897090649498169,-0.0638851981056148,-0.166983089340808,0.00809250024327343,-0.318316113600296,-0.15800723082768,0.0175666650576482,0.215253793840831,-0.292649251157397
1995-01-31,-0.0528550291465517,-0.131516292353849,-0.109541632829308,-0.200547036092065,-0.0229734950976259,-0.291204835595512,-0.147505671282143,0.0270311591354862,0.210172743872096,-0.25869152474758
1995-02-28,-0.0557690334312462,-0.137420667365298,-0.119330461697946,-0.211641400211719,-0.0253677917721704,-0.312227197454062,-0.140263287257482,0.0240964889874152,0.200154443291863,-0.265177214500162
1995-03-31,-0.12834204324805,-0.143944079008559,-0.108807533799731,-0.189644152844601,-0.0143038799151885,-0.32259677944513,-0.168828966636556,-0.0525813635658201,0.104186903457256,-0.218295549052217
1995-04-30,-0.0974963973703506,-0.0689941439321019,-0.0515614151229805,-0.0782921970383256,-0.0213332067741618,-0.31320147891118,-0.150441580485777,-0.0333387770055471,0.111952515376089,-0.218726774672243
1995-05-31,-0.149366869470523,-0.0986313513198216,-0.169749868536884,0.02097886992612,-0.0153679714616115,-0.273028033400621,-0.16061445178598,-0.057701229832491,0.0815677212708822,-0.142213441643488
1995-06-30,-0.0970632625329115,-0.0360725023257009,0.0150529575247098,-0.0135141287386396,-0.0541045872926938,-0.278718671257601,-0.0508083648423817,0.0436905585839201,0.136047273158663,-0.0805421628045011
1995-07-31,-0.174710128235568,-0.0898094028723116,-0.0566254307416329,-0.0236908715390504,-0.0598711028933187,-0.336463303592998,-0.0803660681295892,-0.0310308027222911,0.0356770221094441,-0.133004647695361
1995-08-31,-0.185395139853354,-0.116387518991757,-0.120222648188269,0.00387991706475527,-0.0791965494955071,-0.295627087835216,-0.059113149813954,-0.00636211639861978,0.0462784776079215,-0.185738039539209
1995-09-30,-0.129012641679744,-0.0815666550855104,-0.0971793848227607,0.0297407347199581,-0.0762772502864958,-0.239269364568121,-0.0465552377739654,0.0316131635116972,0.0973799187028743,-0.179475026359149
1995-10-31,-0.125013626861224,-0.0745080498153051,-0.0297644820189606,0.0124368549169745,-0.0886068633972592,-0.262153818559205,-0.0670215002626642,-0.000444912883172754,0.0594406252912138,-0.185484924764455
1995-11-30,-0.0825079213183624,-0.0913401902616962,-0.0835082804940721,-0.0457862150180182,-0.0715810444237128,-0.296236432137534,-0.0554136640616728,7.15315216136349E-05,0.052319501006456,-0.195724689074323
1995-12-31,-0.0791908127375742,-0.0856130049829081,-0.07632896572589,-0.0601440159482542,-0.0676374960257227,-0.307176240761485,-0.0373147720584669,0.0176227907551829,0.0596360371614242,-0.173186856739509
1996-01-31,-0.0691406818747502,-0.046716782508387,0.0238159882469994,-0.0419436485316374,-0.078752912794312,-0.346155869826592,-0.0251096769003038,0.0321186711916697,0.0735737137810283,-0.189009142188354
1996-02-29,-0.143563289704256,-0.159996274853233,-0.144161134893677,-0.122752815293168,-0.0992347939176317,-0.358629406984209,-0.0937948054939045,-0.042543844755982,0.0226666324485925,-0.18854581087917
1996-03-31,-0.157980375817095,-0.163020976472213,-0.0764201164218754,-0.14024142182345,-0.129469866347562,-0.346949788424227,-0.0773226232390848,-0.00403138353717585,0.0755098661776925,-0.204118587598637
1996-04-30,-0.169674131708703,-0.171438268327741,-0.12967087290778,-0.0962361772205684,-0.129283834007157,-0.34067346645854,-0.0860946805453423,-0.00642695549391665,0.075820009421775,-0.178160342665688
1996-05-31,-0.167334978848093,-0.168228507301921,-0.140517544325217,-0.0860947353811592,-0.132949411549939,-0.272796020396995,-0.0859663764231235,-0.00179728805503253,0.086377209004037,-0.188479566666976
