AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
1998-04-30,0,0,0,0,0,0,0,0,0,0
1998-05-31,0.105834949164973,-0.411839827245735,-0.588228390501492,-0.500364616872426,0.278397344979266,-0.0219477803825373,-0.885654890441899,0.136832789268689,-0.373504035500138,-0.187405134628233
1998-06-30,0.0483930910132187,-0.537171970981714,-0.634230761487834,-0.870355756786702,0.123844702508561,-0.742768550273814,-0.607939338523267,0.141895898144132,-0.0261421724376063,-0.487936780819031
1998-07-31,0.131872997750254,-0.54175658049664,-0.659542193421528,-0.47478076003877,0.193957766514177,0.00175521775893453,-0.641754847499982,-0.0437769641293771,-0.166026258703733,-0.0118431808879774
1998-08-31,0.0730182969815753,-0.617130069705865,-0.509453759612935,-0.44601253682556,0.322632851267754,-0.300032136874835,-0.543001153081907,0.122405168699584,-0.0334976429145728,0.0171181052154218
1998-09-30,-0.128920263006864,-0.689294704402261,-0.580659676543359,-0.436244027408608,0.113332362500735,-0.386041348870721,-0.417546756772906,0.180577290457408,0.154341607659136,-0.411564257053537
1998-10-31,-0.0285070747028262,-0.522929583688775,-0.351059587624125,0.163885565632663,0.0744886712351466,-0.218528670084617,-0.214340848793253,-0.0321321731048873,0.0187400961838485,-0.12315960406008
1998-11-30,-0.0184381160307393,-0.466154237693032,-0.325904292600192,0.127955204698588,0.0502270208742907,0.0934466371823764,-0.1434250888314,-0.177038974826098,0.0122089275335187,0.163254623942176
1998-12-31,-0.143893240157106,-0.490821800588722,-0.395916905951021,-0.186154582063027,0.176159932010585,-0.0386129482889653,-0.249296276914667,-0.0193691453277296,-0.0173002923934173,0.0601583102074859
1999-01-31,-0.102051245324126,-0.301570082698171,-0.190846615997643,-0.225661481265237,0.114628562288672,-0.270776277967596,-0.0226013721130791,0.0756652962332908,0.0850291882553834,-0.313808624039727
1999-02-28,-0.1747389122869,-0.304716734798144,-0.221413386111954,-0.0485181658067753,0.111846540355482,-0.100478606703882,-0.0625587071683309,0.315833627688758,0.18478135321123,-0.130204666263753
1999-03-31,-0.276453591477141,-0.20358887611615,-0.188194752826772,-0.150940966329346,0.162806636426687,-0.11899869777314,-0.0724222583196358,0.107937214343533,0.1636475477482,-0.221008034673917
