Monthly Quintile Turnover Timeseries
Universe Name: S&P 500
Factor Code: NIStab
Factor Name: Net Income Stability
Sector Name: Cross Sectional
Holding Period: 12 Month
Currency: Local Currency
Created Date: 2024-07-26

Date,Q1,Q2,Q3,Q4,Q5
3/31/1989,0,,,,0
4/30/1989,0,,0,,0
5/31/1989,0,,0,,0
6/30/1989,0,,0,,0
7/31/1989,0,,0,,0
8/31/1989,0,,0,,0
9/30/1989,0,,0,,0
10/31/1989,0,,0,,0
11/30/1989,0,,0,,0
12/31/1989,0,,0,,0
1/31/1990,0,,0,,0
2/28/1990,0,,0,,0
3/31/1990,0,,0,,0
4/30/1990,0,,0,,0
5/31/1990,0,,0,,0
6/30/1990,0,,0,,0
7/31/1990,0,,0,,0
8/31/1990,0,,0,,0
9/30/1990,0,,0,,0
10/31/1990,0,,0,,0
11/30/1990,0,,0,,0
12/31/1990,0,,0,,0
1/31/1991,0,,0,,0
2/28/1991,0,,0,,0
3/31/1991,0,,0,,0
4/30/1991,0,,0,,0
5/31/1991,0,,0,,0
6/30/1991,0,,0,,0
7/31/1991,0,,0,,0
8/31/1991,0,,0,,0
9/30/1991,0,,0,,0
10/31/1991,0,,0,,0
11/30/1991,0,,0,,0
12/31/1991,0,,0,,0
1/31/1992,0,,0,,0
2/29/1992,0,,0,,0
3/31/1992,0,,0,,0
4/30/1992,0,,0,,0
5/31/1992,0,,0,,0
6/30/1992,0,,0,,0
7/31/1992,0,,0,,0
8/31/1992,0,,0,,0
9/30/1992,0,,0,,0
10/31/1992,0,,0,,0
11/30/1992,0,,0,,0
12/31/1992,0,,0,,0
1/31/1993,0,,0,,0
2/28/1993,0,,0,,0
3/31/1993,0,,0,,0
4/30/1993,2,,3,,0
5/31/1993,2,,3,,2
6/30/1993,2,,3,,2
7/31/1993,2,,4,,4
8/31/1993,2,,5,,4
9/30/1993,2,,5,,4
10/31/1993,3,,5,,4
11/30/1993,3,,6,,5
12/31/1993,3,,6,,5
1/31/1994,4,,7,,6
2/28/1994,5,,7,,7
3/31/1994,18,,20,,20
4/30/1994,18,21,11,21,20
5/31/1994,18,10,11,11,20
6/30/1994,18,10,11,11,20
7/31/1994,5.66666666666667,6.33333333333333,6.33333333333333,7,6.33333333333333
8/31/1994,5.66666666666667,6.33333333333333,5,7,6.33333333333333
9/30/1994,5.66666666666667,4.75,5.25,5.25,6.33333333333333
10/31/1994,4.25,4.75,4.75,5.25,6.66666666666667
11/30/1994,4.25,4,4.4,4.4,5
12/31/1994,4.25,4,4.4,4.4,5
1/31/1995,3.2,2.83333333333333,3.83333333333333,4.4,3.8
2/28/1995,2.5,2.5,3.83333333333333,3.83333333333333,3.33333333333333
3/31/1995,0.526315789473684,1,1.10526315789474,1.47368421052632,0.842105263157895
4/30/1995,0.473684210526316,0.9,1.2,1.3,0.736842105263158
5/31/1995,0.631578947368421,1.2,1.5,1.7,0.947368421052632
6/30/1995,0.684210526315789,1.3,1.5,1.6,0.947368421052632
7/31/1995,0.75,1.45,1.55,1.55,1
8/31/1995,0.65,1.45,1.85,1.75,1.1
9/30/1995,0.75,1.28571428571429,1.76190476190476,1.61904761904762,1.15
10/31/1995,0.666666666666667,1.19047619047619,1.85714285714286,1.80952380952381,1.23809523809524
11/30/1995,1.57142857142857,2.61904761904762,2.47619047619048,2.80952380952381,2.1
12/31/1995,1.61904761904762,2.57142857142857,2.23809523809524,2.85714285714286,2.15
1/31/1996,1.66666666666667,2.71428571428571,2.23809523809524,2.9047619047619,2.2
2/29/1996,1.76190476190476,2.85714285714286,2.19047619047619,3,2.4
3/31/1996,2.30434782608696,3.25,3.25,3.34782608695652,2.8695652173913
4/30/1996,2.25,3.375,3.45833333333333,3.33333333333333,2.91304347826087
5/31/1996,2.2,2.84615384615385,3.19230769230769,3.23076923076923,2.84
6/30/1996,2,2.84615384615385,3.07692307692308,3.23076923076923,2.84
7/31/1996,2.03703703703704,2.7037037037037,2.96296296296296,3.14814814814815,2.61538461538462
8/31/1996,1.89655172413793,2.68965517241379,2.89655172413793,2.72413793103448,2.42857142857143
9/30/1996,1.86206896551724,2.7,2.83333333333333,2.89655172413793,2.41379310344828
10/31/1996,1.74193548387097,2.5625,2.6875,2.61290322580645,2.25806451612903
11/30/1996,1.1875,1.85416666666667,2,1.89583333333333,1.45833333333333
12/31/1996,1.10204081632653,1.81632653061224,1.96,1.91836734693878,1.42857142857143
1/31/1997,1.1,1.72,1.96,1.96,1.42
2/28/1997,1.07692307692308,1.60377358490566,1.90566037735849,1.88461538461538,1.30769230769231
3/31/1997,0.8,1.7,1.61428571428571,1.6,1.3768115942029
4/30/1997,0.805555555555556,1.61643835616438,1.58904109589041,1.56944444444444,1.36111111111111
5/31/1997,0.851351351351351,1.39189189189189,1.44,1.52702702702703,1.2027027027027
6/30/1997,0.878378378378378,1.43243243243243,1.45945945945946,1.52702702702703,1.2027027027027
7/31/1997,0.932432432432432,1.45945945945946,1.45333333333333,1.51351351351351,1.14864864864865
8/31/1997,0.891891891891892,1.29333333333333,1.34666666666667,1.51351351351351,1.08108108108108
9/30/1997,0.96,1.33333333333333,1.42666666666667,1.49333333333333,1.06666666666667
10/31/1997,0.906666666666667,1.32894736842105,1.36842105263158,1.53947368421053,1.09333333333333
11/30/1997,0.883116883116883,1.36363636363636,1.46753246753247,1.62337662337662,1.03947368421053
12/31/1997,0.896103896103896,1.33333333333333,1.38461538461538,1.57142857142857,1.07792207792208
1/31/1998,0.896103896103896,1.41025641025641,1.41025641025641,1.58974358974359,1.07792207792208
2/28/1998,0.897435897435897,1.44871794871795,1.44871794871795,1.5,1.05128205128205
3/31/1998,0.697674418604651,1.35632183908046,1.19540229885057,1.34883720930233,1.06976744186047
4/30/1998,0.697674418604651,1.3448275862069,1.19540229885057,1.41379310344828,1.13953488372093
5/31/1998,0.67816091954023,1.29885057471264,1.25287356321839,1.22988505747126,1.09195402298851
6/30/1998,0.67816091954023,1.29545454545455,1.22727272727273,1.22988505747126,1.06896551724138
7/31/1998,0.701149425287356,1.31818181818182,1.22727272727273,1.18181818181818,1.06896551724138
8/31/1998,0.659090909090909,1.29545454545455,1.28409090909091,1.29545454545455,1.11363636363636
9/30/1998,0.629213483146067,1.21348314606742,1.25555555555556,1.30337078651685,1.1123595505618
10/31/1998,0.674157303370786,1.25842696629213,1.27777777777778,1.34831460674157,1.10112359550562
11/30/1998,0.696629213483146,1.21111111111111,1.25555555555556,1.34444444444444,1.1123595505618
12/31/1998,0.688888888888889,1.18888888888889,1.27777777777778,1.26666666666667,1.11111111111111
1/31/1999,0.711111111111111,1.14444444444444,1.25555555555556,1.35555555555556,1.15555555555556
2/28/1999,0.666666666666667,1.18681318681319,1.27472527472527,1.43956043956044,1.15555555555556
3/31/1999,0.771739130434783,1.26881720430108,1.35483870967742,1.46739130434783,1.20652173913043
4/30/1999,0.771739130434783,1.33695652173913,1.3010752688172,1.46739130434783,1.18478260869565
5/31/1999,0.793478260869565,1.35869565217391,1.45652173913043,1.51086956521739,1.1195652173913
6/30/1999,0.771739130434783,1.40217391304348,1.46739130434783,1.51086956521739,1.09782608695652
7/31/1999,0.771739130434783,1.39130434782609,1.45652173913043,1.42391304347826,1.07608695652174
8/31/1999,0.771739130434783,1.28260869565217,1.32258064516129,1.46739130434783,1.01086956521739
9/30/1999,0.774193548387097,1.34408602150538,1.3010752688172,1.46236559139785,1.01086956521739
10/31/1999,0.774193548387097,1.3010752688172,1.32258064516129,1.44086021505376,0.967741935483871
11/30/1999,0.666666666666667,1.18279569892473,1.38709677419355,1.37634408602151,1.07608695652174
12/31/1999,0.728260869565217,1.2258064516129,1.41935483870968,1.44565217391304,1.05434782608696
1/31/2000,0.684782608695652,1.24731182795699,1.39784946236559,1.44565217391304,1.06521739130435
2/29/2000,0.652173913043478,1.24731182795699,1.39784946236559,1.3804347826087,1.02173913043478
3/31/2000,0.6,1.21052631578947,1.32631578947368,1.10526315789474,1.02105263157895
4/30/2000,0.6,1.18947368421053,1.30208333333333,1.10526315789474,1.04210526315789
5/31/2000,0.473684210526316,1.13684210526316,1.17708333333333,1.26315789473684,0.957894736842105
6/30/2000,0.526315789473684,1.17894736842105,1.2,1.22105263157895,0.936842105263158
7/31/2000,0.578947368421053,1.17708333333333,1.19791666666667,1.16842105263158,0.957894736842105
8/31/2000,0.6,1.08333333333333,1.27083333333333,1.14736842105263,0.873684210526316
9/30/2000,0.6,1.0625,1.33333333333333,1.14736842105263,0.821052631578947
10/31/2000,0.578947368421053,1.0625,1.35416666666667,1.16842105263158,0.894736842105263
11/30/2000,0.589473684210526,1.10526315789474,1.27083333333333,1.24210526315789,0.968421052631579
12/31/2000,0.673684210526316,1.12631578947368,1.33684210526316,1.22105263157895,0.905263157894737
1/31/2001,0.736842105263158,1.14736842105263,1.27368421052632,1.29473684210526,0.946808510638298
2/28/2001,0.712765957446808,1.06315789473684,1.33684210526316,1.31578947368421,0.925531914893617
3/31/2001,0.552083333333333,1.03125,1.34020618556701,1.40625,1.01041666666667
4/30/2001,0.572916666666667,1.09375,1.31958762886598,1.36458333333333,0.989583333333333
5/31/2001,0.677083333333333,1.25773195876289,1.1340206185567,1.38144329896907,1.01041666666667
6/30/2001,0.721649484536082,1.21649484536082,1.1340206185567,1.4020618556701,1.0625
7/31/2001,0.65625,1.34020618556701,1.1340206185567,1.32291666666667,1.04166666666667
8/31/2001,0.78125,1.36458333333333,1.23958333333333,1.38541666666667,0.958333333333333
9/30/2001,0.760416666666667,1.38541666666667,1.23958333333333,1.44791666666667,0.957894736842105
10/31/2001,0.822916666666667,1.44791666666667,1.28125,1.44791666666667,0.9375
11/30/2001,0.8,1.30208333333333,1.32291666666667,1.49473684210526,1.01052631578947
12/31/2001,0.842105263157895,1.38541666666667,1.34375,1.49473684210526,1.01052631578947
1/31/2002,0.884210526315789,1.44791666666667,1.30208333333333,1.48958333333333,1.05263157894737
2/28/2002,0.926315789473684,1.38541666666667,1.375,1.46875,1.01052631578947
3/31/2002,0.77319587628866,1.45360824742268,1.43298969072165,1.39175257731959,0.979381443298969
4/30/2002,0.835051546391753,1.41237113402062,1.37113402061856,1.45360824742268,0.979381443298969
5/31/2002,0.731958762886598,1.31958762886598,1.34020618556701,1.37113402061856,0.938144329896907
6/30/2002,0.711340206185567,1.31958762886598,1.34020618556701,1.4020618556701,0.916666666666667
7/31/2002,0.690721649484536,1.36082474226804,1.34020618556701,1.38144329896907,0.958333333333333
8/31/2002,0.731958762886598,1.43298969072165,1.45360824742268,1.37113402061856,0.979166666666667
9/30/2002,0.649484536082474,1.37113402061856,1.47422680412371,1.35051546391753,0.96875
10/31/2002,0.649484536082474,1.43298969072165,1.41237113402062,1.35051546391753,0.927083333333333
11/30/2002,0.628865979381443,1.35051546391753,1.43298969072165,1.45360824742268,1.02061855670103
12/31/2002,0.628865979381443,1.2680412371134,1.42268041237113,1.37113402061856,1.04123711340206
1/31/2003,0.608247422680412,1.20618556701031,1.42268041237113,1.35051546391753,1
2/28/2003,0.54639175257732,1.21649484536082,1.43877551020408,1.35051546391753,1.02061855670103
3/31/2003,0.551020408163265,1.07142857142857,1.29591836734694,1.27551020408163,0.918367346938776
4/30/2003,0.530612244897959,1.19387755102041,1.35714285714286,1.23469387755102,0.959183673469388
5/31/2003,0.602040816326531,1.21212121212121,1.37373737373737,1.23469387755102,0.918367346938776
6/30/2003,0.5,1.21212121212121,1.37373737373737,1.19191919191919,0.877551020408163
7/31/2003,0.5,1.15151515151515,1.35353535353535,1.23232323232323,0.877551020408163
8/31/2003,0.479591836734694,1.11224489795918,1.39795918367347,1.33673469387755,0.877551020408163
9/30/2003,0.448979591836735,1.11224489795918,1.39795918367347,1.35714285714286,0.876288659793814
10/31/2003,0.448979591836735,1.11224489795918,1.33673469387755,1.33673469387755,0.835051546391753
11/30/2003,0.448979591836735,1.27551020408163,1.35714285714286,1.19387755102041,0.897959183673469
12/31/2003,0.530612244897959,1.31632653061224,1.35353535353535,1.1530612244898,0.836734693877551
1/31/2004,0.530612244897959,1.23469387755102,1.31313131313131,1.1530612244898,0.816326530612245
2/29/2004,0.510204081632653,1.25252525252525,1.35353535353535,1.22448979591837,0.877551020408163
3/31/2004,0.540816326530612,1.11111111111111,1.41414141414141,1.15151515151515,0.683673469387755
4/30/2004,0.520408163265306,1.09090909090909,1.39393939393939,1.13131313131313,0.683673469387755
5/31/2004,0.565656565656566,1.21212121212121,1.46464646464646,1.19191919191919,0.744897959183674
6/30/2004,0.565656565656566,1.19191919191919,1.45454545454545,1.17171717171717,0.806122448979592
7/31/2004,0.585858585858586,1.21212121212121,1.4949494949495,1.31313131313131,0.846938775510204
8/31/2004,0.484848484848485,1.05050505050505,1.35353535353535,1.21212121212121,0.826530612244898
9/30/2004,0.520408163265306,1.13131313131313,1.35353535353535,1.17171717171717,0.806122448979592
10/31/2004,0.520408163265306,1.23232323232323,1.29292929292929,1.19191919191919,0.785714285714286
11/30/2004,0.540816326530612,1.17171717171717,1.17171717171717,1.15151515151515,0.73469387755102
12/31/2004,0.622448979591837,1.19191919191919,1.17171717171717,1.21212121212121,0.73469387755102
1/31/2005,0.571428571428571,1.13131313131313,1.15151515151515,1.23232323232323,0.73469387755102
2/28/2005,0.612244897959184,1.23232323232323,1.23232323232323,1.19387755102041,0.755102040816326
3/31/2005,0.505050505050505,1.21212121212121,1.17171717171717,0.98989898989899,0.727272727272727
